Notetype,NoteTemplate,counts
Progress Note,PROGRESS NOTE,5257
Progress Note,STD Visit.HCDPH,5247
Speech Language Therapy,SOAP,5125
Progress Note,ZBF - Problem Visit,5010
Progress Note,SCHD FP Interperiodic Flow,4959
Progress Note,SCHD STD Encounter - Form 2808,4955
Progress Note,FP Follow-Up RPM,4914
Maternity Visit,DCHD Maternal Flow,4892
FP Supply or Problem,FP-Supply or Problem,4839
Admit Note,Follow-up Note,4780
Progress Note,Imm-TST,4719
Progress Note,COVID-Testing-Note,4660
Progress Note,ZZZ- STD - Form 2808,4578
Progress Note,Lab/Drug screen Only,4562
Progress Note,ZCOVID Administration Note,4447
Progress Note,TB Skin Test. HCDPH,4416
BH Office Visit,BH - COUNSELOR Return,4409
Progress Note,Narrative Note SCHD,4393
Progress Note,SCHD TB Skin Test Reading,4388
Progress Note,Nurse Note,4346
Admit Note,RM - Progress Note,4340
Progress Note,zzzSTD Encounter - Form 2808,4338
Rx to be sent,Medication Refill,4310
Progress Note,Depo,4278
Drop In,Immunization Note,4140
Progress Note,FP - Female Flow 2814F,4127
Progress Note,AH Primary Care Visit,4120
Progress Note,BF - Problem Visit,4088
Progress Note,RCPH FP Female Limited Visit,4084
Progress Note,Medication Encounter,4067
Admit Note,TB SKIN TEST,4036
Progress Note,DLH-ProgressNote,4026
Maternal,Maternal Flow,3979
Admit Note,TB SKIN TEST READING,3968
Progress Note,COVID Administration Note,3964
Nurses Note,Nurses Note,3937
Progress Note,FP- Female Physical Form,3909
STD,STD Encounter - Form 2808,3844
Progress Note,zSTD Note,3816
Progress Note,STD Form -DHHS 2808-,3790
Progress Note,FP Contraceptive Flow Sheet,3775
Progress Note,COVID-19,3683
Admit Note,DCHD - PPD Reading Note,3596
Progress Note,SCHD FP Periodic Female Flow,3541
Progress Note,OS - TST VISIT,3522
BCCCP Note,BCCCP-Breast Screening Data,3517
Progress Note,FP PE 2018.HCDPH,3507
MH Note,MH Return Note,3497
Progress Note,"Gen, Pregnancy Test Counseling",3434
Progress Note,Pregnancy Test RPM,3420
Progress Note,Pregnancy Test Note,3378
Progress Note,FP- Female Flow 2814F /HX RPM,3375
Progress Note,RCPH Immunization Note,3329
Progress Note,COVID19 Testing Note,3320
Progress Note,Diabetes Note,3315
Progress Note,OS - TST Read,3308
Progress Note,FP Limited Visit Flow - DCHD,3306
STD Visit,STD- LCHD,3278
Progress Note,Z COVID VACCINE NOTE OLD,3276
Social Work,SOCIAL WORK  FOLLOW UP NOTE,3252
Progress Note,MH-Follow Up Visit Note,3243
Maternity Visit,MH - Maternity Return,3217
Progress Note,MH- Maternal Flow,3194
Progress Note,AH  Complaint/ Follow Up,3169
Progress Note,RCPH FP Female Flow 2814F,3154
Progress Note,ACUTE CARE VISIT.HCDPH,3106
Progress Note,OAS - Immunization Note,3064
Progress Note,APC - Immunization Only,2997
Progress Note,BF-Well Child 5-6yrs.,2926
Progress Note,CO - COVID-19 Spec Collection,2904
Progress Note,TB Drug Record,2850
Progress Note,COVID VACCINE NOTE,2836
Progress Note,AH - Problem Visit Note,2831
TB,TST Read,2824
Progress Note,Nurse's Note,2824
Progress Note,Immunization-School,2806
Progress Note,Flu Vaccine Questionnaire,2777
Family Planning,FP - Method/Problem Visit,2766
H&P Note,Surgeon History and Physical,2737
Progress Note,Lab Results,2734
Progress Note,Immunization Note - Child,2733
Progress Note,Limited Visit Note SCHD,2712
Progress Note,SCHD Nurses Note,2711
Progress Note,FP General Nurse Visit,2703
Telehealth,Telehealth,2690
Progress Note,ID SW CLINIC,2638
Progress Note,FP Female PE Sheet w history,2635
Admit Note,COVID Results,2629
Admit Note,CP - HandP,2590
Progress Note,New Maternity,2580
FP History ,RCPH FP 4060F Female Health HX,2570
Progress Note,Flu,2567
Progress Note,COVID-19 Testing,2564
FP Female Flow,FP-Female Annual,2556
Progress Note,Immunization Note - Adult,2551
Progress Note,BCCCP-Breast Screening Data,2550
Maternal Flow,MH - Maternal Flow,2547
Progress Note,MEDICATION ENCOUNTER,2538
TB,TST Administration,2512
Progress Note,FP-Female Flow/Green Sheet,2485
Progress Note,Nurse Note Miscellaneous,2476
Progress Note,LAB ONLY,2457
Progress Note,TB Flow Sheet,2317
Progress Note,CO - C-19 Mod Vaccine-1ST Dose,2289
Progress Note,Adult Health,2277
Progress Note,Immunization,2245
Progress Note,SCHD Lab Only,2244
Admit Note,SCHD TB Skin Test,2196
Progress Note,FP SUPPLY-PROBLEM,2185
Progress Note,Testosterone Injection,2172
Progress Note,Flu - Pneumonia Note,2164
Progress Note,SCHD TB Risk  Assessment,2158
Progress Note,FP Limited Method Supply,2137
Progress Note,FP/OB Pregnancy Test/Counsel,2121
Progress Note,"FP - Problem,F/U, Supply Visit",2088
FP Annual PP,FP Annual / PP Visit- LCHD,2080
Progress Note,PC - MAT,2074
Progress Note,TB Skin Test Reading- CCHD,2061
Progress Note,Pill/Nuvaring/Ortho E Pickup,2042
Phone Encounter,RCPH Phone Encounter,1990
Progress Note,PREGNANCY TEST VISIT,1985
Progress Note,Primary Care Note,1970
Lab Only,Lab/Procedure Only- LCHD,1967
Progress Note,FP - Pregnancy Test 4140,1962
Progress Note,TB Skin Test- CCHD,1945
Immunization,Immunization Note- LCHD,1888
Progress Note,Maternal Physical Examination,1875
Progress Note,MH New OB Interview RPM,1859
Admit Note,Covid Vaccine Admin Note,1858
Progress Note,PC - Est Adult Office Visit,1853
Progress Note,FP Female HX and Flow Sheet,1844
Progress Note,DCHD - TB Risk Questionnaire,1832
Progress Note,FP- Method/Follow up visit,1828
Progress Note,Nurses Note,1822
Admin Note,ADMIN NOTE,1821
Progress Note,Gen STD treatment,1816
Primary Care,LPC- Return Visit- LCHD,1813
Progress Note,ID Clinic,1811
Consultation Report,Consultation Note 1,1810
Progress Note,CC - Starter Note,1807
Progress Note,GenClinicPregnancy Test 4140,1797
Progress Note,MEDICATION-PILL/DEPO ENCOUNTER,1791
Progress Note,FP Female Flow 2814F SCHD,1784
Progress Note,STD Treatment Record,1778
Progress Note,PRESCRIPTION PICK UP,1774
Progress Note,zCOVID Administration Note,1733
Progress Note,BF-Well Child 11-14yrs,1722
Maternity Visit,MH - 1 Return OB,1703
Progress Note,Easy Soap,1699
Progress Note,SCHD FP Limited Visit,1692
Progress Note,ULTRASOUND NOTE,1687
Progress Note,CH PROBLEM/SICK NOTE-NEW,1671
Progress Note,APC-Well Women Exam,1670
Admit Note,FP FEMALE FLOW 2814F-NEW,1658
Progress Note,Depo Provera Nurse Visit.HCDPH,1653
Progress Note,MH-MATERNITY NOTE,1637
Progress Note,BF-Well Child 7-8yrs.,1637
Progress Note,FP Female Physical Exam,1618
Progress Note,Med. Management Template,1608
Progress Note,NEW STD Encounter - Form 2808,1593
Progress Note,TST Administration Record,1563
Progress Note,MH-MISSED OB APPT,1560
Progress Note,Maternal New Admission,1552
Progress Note,BF-Well Child 9-10yrs.,1538
Admit Note,CP - Progress Note,1504
BCCCP,BCCCP-Breast Screening Data,1500
Method Visit,FP-Method Visit-Return,1482
Progress Note,z-MH Return/Flow Note,1479
Progress Note,SCHD Lab Results,1460
Progress Note,Supply Visit,1460
Progress Note,General Nurse Note,1453
Progress Note,STD ENCOUNTER - FORM 2808,1438
Progress Note,TST Result Record,1429
H&P Note,Initial Breast Visit,1429
Consultation Report,CP - HandP,1412
Progress Note,FP Limited Visit,1411
BH Office Visit,BH CCA 1 Nurse,1383
Progress Note,TB - PPD Read,1381
Injection Record,Injection Visit,1378
Progress Note,RCPH STD Encounter - Form 2808,1369
AWV,AWV visit w/Health Coach,1356
Progress Note,BF-Well Child 4yrs.,1326
Progress Note,Abnormal Pap Test Follow Up,1323
Progress Note,SCHD Pregnancy Test Flow,1319
Progress Note,STD Encounter SCHD,1299
Progress Note,FP - Depo Injection - WCHD,1292
Progress Note,TB - PPD Placement,1281
Progress Note,TB - PPD reading,1272
FP History ,FP 4060F - Female Health Hx,1269
Progress Note,CH Visit,1262
Admit Note,STD Encounter - Form 2808 NCHD,1255
Progress Note,TB - PPD skin test only,1247
Progress Note,NBPP - Postpartum Home Visit,1243
Admit Note,a CPC New Patient,1242
FP History ,FP - 4060F - Female Health Hx,1229
Progress Note,FP Female-Green sheet,1227
Progress Note,NBPP - Newborn Home Visit,1226
Phone Encounter,Test Results,1224
Progress Note,Hearing Evalution,1220
Progress Note,Wilkes Co AH Annual PE,1209
Admit Note,Wellnes Program Follow Up,1207
Progress Note,AH - Physical Visit Note,1189
Drop In,Drop In,1184
Progress Note,BF -  Well Child 11-14yrs,1183
Progress Note,Pregnancy Testing,1177
Progress Note,FP - Annual Exam -WCHD,1172
Progress Note,MH - Recheck Visit,1170
Progress Note,Phone Encounter2,1168
Progress Note,Immunization Flu/Pneum Note,1165
Progress Note,Pregnancy Test Form 2,1163
Progress Note,BF Problem Visit,1162
Progress Note,MH-Maternal Health Labs,1156
Family Planning,Depo Visit,1150
Admit Note,Standing Order COVID-19 Test,1148
Progress Note,Maternal Health Education,1148
FP FLOW SHEET,FP Female Flow 2814F NCHD,1143
Progress Note,CH Sick Visit/Problem Note,1126
Progress Note,CP - Progress Note,1118
Phone Encounter,Phone Encounter NCHD,1106
Family Planning,z-FP Annual - Female,1099
Progress Note,FLU Administration Note,1091
BCCCP Note,BCCCP Visit,1074
Progress Note,TB Skin Test Reading SCHD,1071
Admit Note,Flu and Pneumonia Immunization,1069
Lab Note,Lab/Radiology Review Note,1068
Progress Note,PC - Est Pedi Office Visit,1065
Family Planning,FP-Female Annual Revised,1059
FP History ,FP Female,1058
Progress Note,CO - COVID-19 Rapid Test,1057
Admit Note,RM - Procedure Note,1056
Admit Note,Covid Vaccine,1056
Progress Note,CO - C-19 Pfz Vaccine-1ST DOSE,1055
Progress Note,Hearing Aid Check,1054
Progress Note,CHPE 11-17 Years,1052
Progress Note,zzFP Female Initial/Ann Note,1052
Progress Note,TB Medication,1044
Progress Note,Misc.Note,1041
Progress Note,FP Reproductive Health Female,1039
Phone Encounter,COVID Results,1036
Progress Note,MH-OB REFERRAL,1033
Progress Note,BF-Well Child 3 years,1027
Progress Note,BF-Well Child 2 years,1011
Progress Note,Depo Provera Contraceptive-HC,1008
MH Note,MH Initial Physical Exam,998
Progress Note,SOAP,991
Progress Note,ID Clinic Monthly Visit,976
Progress Note,FLU Vaccination Note,970
FP Eval,FP Evaluation Visit- LCHD,969
Admit Note,ID Lab,968
Progress Note,Maternal Return Note-WCHD,968
Progress Note,MH -New OB Interview,965
Admit Note,FP FAMILY PLANNING PROBLEM,964
Progress Note,Medication Refill,964
Progress Note,CO - C-19 Pfz Vaccine-2ND DOSE,959
Admit Note,General Nurse Note,952
Progress Note,MH Initial Visit HxPE.HCDPH,944
Progress Note,TB Monthly Assessment.HCDPH,943
Letters,Letter to Referring Provider,943
Progress Note,FP Female Flow 2814Fnew,941
Progress Note,STI Form 2808,936
Progress Note,Home Visit,933
Progress Note,BF-Well Child 12 Months,933
TB DOT,TB DOT Clinic/In-home LCHD,925
Progress Note,SCHD Pregnancy Assessment Form,922
BCCCP,BCCCP Visit,919
Admit Note,APC-Specialty PE,917
Progress Note,Peds Problem Visit,904
Progress Note,PC Comprehensive Note,899
Progress Note,Nutritional Counseling MNT,899
Progress Note,ZBF Well Child 11 to 14 Yrs,893
Progress Note,Progress Note,893
Progress Note,MH Maternal Return Note SCHD,889
Progress Note,WASH - Flu Note,887
H&P Note,a CPC New Patient,877
Progress Note,BH Follow Up Visit,877
Progress Note,FP History/Annual Exam,875
Progress Note,MH Initial Physical Exam RPM,873
Progress Note,Psychotherapy Note,867
Progress Note,ZBF Well Child 15-21 yrs NEW,864
Progress Note,AH - General Nurse Visit,855
Progress Note,FP-Pregnancy Test,854
Progress Note,AH/CH Labs SCHD,851
Admit Note,ZZZZZZZZSCHD New PN Visit,851
Progress Note,Ped Primary Clinic Note,850
BCCCP,BCCCP-Cervical Screen Data,843
Progress Note,Barton PC Init./FU/Sick Note,843
Progress Note,TB Flow Sheet ,843
Progress Note,APC-Well Male Exam,839
Consultation Report,HCM - HandP,839
Progress Note,Immunization Visit,835
Progress Note,TB Skin Test SCHD,834
Progress Note,FP Annual Visit,830
Progress Note,FP-Revisit Depo or BCP Refill,826
Progress Note,FP Female Exam,824
MH Exam,MH Return Note NCHD,824
Progress Note,BF-Well Child 18 Months,823
Admit Note,STD TREATMENT ONLY,822
VLab Report ,Carotid Duplex,814
Progress Note,Allergy Shots,811
Phone Encounter,Refill Request,811
FP History ,Z-FP 4060F - Female Health Hx,806
Progress Note,zz NBPP-Home Visit - Postnatal,804
Progress Note,CP - Procedure Note,803
FP History ,Z FP 4060M Female Health HX,803
Progress Note,ZZ - NBPP-Home Visit - Newborn,802
Progress Note,FP Supply VIsit,799
Progress Note,Lab Screening Only,797
Progress Note,FP Problem Note,797
Progress Note,ID Clinic Lab,797
Progress Note,CH Problem Visit,789
Progress Note,CH SICK VISIT,787
Progress Note,FP Limited Flow Sheet,786
H&P Note,MAT Note,779
Progress Note,MUSIC THERAPY,772
Progress Note,PCM Note,770
Progress Note,ID Social Worker Assessment,770
Progress Note,BCCCP Data,763
Progress Note,Lab Only NCHD,761
Progress Note,Chronic Pain follow up,757
Progress Note,COVID Nurse Evaluation,751
Progress Note,STD Physical Form - WCHD,750
Progress Note,Immunization Note SCHD,749
BCCCP Note,BCCCP-Cervical Screen Data,747
BH Office Visit,BH-CCA1-COUNSELOR,745
Progress Note,BF - Well Child 002 to 05 Days,744
Phone Encounter,Behavioral Health Note,740
Progress Note,Lice Check,739
Progress Note,Z TB Skin Test,731
FP Contraception,FP Contraceptive Visit- LCHD,726
Phone Encounter,Hospital f/u Call,724
Child Health,BF-Well Child 11-14yrs,722
MH Note,MH Pregnancy Test,719
Progress Note,TB DOT,714
Adult Sick,Adult Sick/Physical Visit NCHD,710
Progress Note,BCCCP-Cervical Screen Data,701
Progress Note,STD Treatment,701
Progress Note,Foreign Travel HCDPH,693
MH Intake,New Maternity Intake - RN Only,690
Progress Note,COVID-19 Testing Clinic,689
Admit Note,New Patient,688
Progress Note,"MNT, Pregnant or PP Note",688
Admit Note,Drug Screening,686
Progress Note,Flu/Pneumonia Clinic,676
Progress Note,AH-Basic History,675
Admin Note,BCCCP-Breast/Cervical Data,674
Progress Note,PC  - New Pedi Office Visit,674
Progress Note,CO - C-19 Mod Vaccine-2ND Dose,672
MH Return Visit,MH Return Visit Note- LCHD,672
CCM,CCM Note Patient Call,670
Immunizations,CCHD Immunization Note,669
Progress Note,BF - Well Child 02 Month,669
Progress Note,BCCCP Visit. HCDPH,668
Admit Note,PNR-Provider,666
Progress Note,CHPE 7-10 years,666
Child Health,BF-Well Child 5-6 years,661
Progress Note,Jessica Follow-up Note Raleigh,657
Progress Note,FP Limited Provider Note,657
Progress Note,"MNT, Adult, follow-up",656
Progress Note,BF Well Child 15-21yrs.,650
Progress Note,Influenza Vaccine Form SCHD,649
Progress Note,Maternal Initial Physical Exam,649
Progress Note,FP Limited Visit SCHD,649
Progress Note,ZBF WCC 5 to 6 Years old-NEW,647
Progress Note,Adult Physical Note SCHD,646
FP History ,FP 4060F-Female Health Hx,644
Admit Note,FP Depo/Supply Visit,644
Progress Note,FP Female Initial,641
Maternal,Maternal Initial-Nurse Only,640
Child Health,BF Well Child 15-21 yrs,637
Case Management,Care Management,637
Progress Note,OAS - Pregnancy Test Note,636
Admit Note,SCHD BF Well Child PE,634
Progress Note,Immunization Note - WCHD,633
Progress Note,BF - Well Child  15-21yrs.,632
Progress Note,Jessica Suboxone f/u- Raleigh,630
Progress Note,BF - Well Child 01 Month,629
Progress Note,ET-Expanded testing,623
Admit Note,PC Comprehensive Note,620
Progress Note,ZZZAPC- Follow up/Sick Visit ,617
Therapeutic Injection Record,Therapeutic Injection Record,617
Progress Note,BF-Well Child 15 Months,615
Maternity Visit,zMH - New Maternity Visit,613
MH Intake,ACOG- New Maternity,609
Daily Treatment Note,'23 SHC Comb'd Proc Trmt,607
Progress Note,Labs Only,607
Progress Note,BF - Well Child 06 Months,602
Phone Encounter,CD - STD Test Results -HBsAb,602
Progress Note,Nexplanon Insertion,601
Initial Evaluation,Neuropsych Eval,601
Progress Note,DCHD GENERAL NURSE NOTE,601
Admit Note,HCM - HandP,598
Progress Note,Hep C Follow-Up,596
Progress Note,Breast Screening Follow Up,593
Progress Note,BCCCP Breast Cancer,592
Progress Note,Makena/Rhogam Note,591
Progress Note,BF - Well Child 04 Months,585
Maternity Visit,MH - New OB History,581
Progress Note,TB Screening Form,578
Diagnostic Test,Diagnostic Test,577
Progress Note,Pap Follow-up,575
Progress Note,Nexplanon Removal,573
Progress Note,Well Woman w/o Pap,571
Progress Note,IUD Insertion,571
Progress Note,FP Problem/ Express Visit,570
Progress Note,ZBF-Well Child 11-14yrs,567
Progress Note,Well Man,566
Progress Note,Nurse Triage,565
Progress Note,Flu Shot Only,559
Progress Note,AH CDL/School/Job Physical,556
TB Test Reading,TB Skin Test Reading- LCHD,555
Progress Note,COVID Vaccine Only,554
Progress Note,FP Pregnancy Test Care,554
Progress Note,CHPE 5-6 Years,553
Adult Health ,AH/BCCCP Annual,553
Admit Note,COVID Mass Immunization Note,552
Progress Note,Hearing Aid Consult / Purchase,551
Progress Note,Diabetes 2,547
Progress Note,COVID Evaluation,547
MH Note,MH Sick Note,546
Progress Note,Limited Physical SCHD,545
Progress Note,MH New Maternity/Nurse,536
Progress Note,ZBF-Well Child 5-6yrs.,534
Progress Note,EIC Note Sheet,532
Progress Note,SCHD TB Flow Sheet,531
Progress Note,Flu and PPD,530
Progress Note,BF - Well Child 09 Months,525
Surgery Note,DLH-Procedure,523
Progress Note,TB Skin Test Visit,523
Progress Note,BH - Tele Nurse Note,521
Admit Note,Covid-19 Testing Form,515
Progress Note,BCCCP-Breast Screening Data 23,514
Progress Note,FP Problem/ Supply Visit,508
Progress Note,MH-Maternal Initial PE,508
Phone Encounter,Phone Encounter Dr.Hamad,507
Primary Care,LPC- Initial Visit- LCHD,504
Maternal,Maternal Inital-Provider only,504
Progress Note,CH - Well Child 11-14yrs,501
H&P Note,MH - 2 New OB,500
Progress Note,Psych- Therapy Note,497
Progress Note,TB Work Form,497
Progress Note,STD Treatment Only Visit,496
Progress Note,COVID-19 Vaccine Note,493
Admit Note,Immunization,488
Progress Note,SCHD Medication Encounter,488
Progress Note,TB FLOW SHEET,486
Progress Note,MH New Maternity - HC,485
Progress Note,Z-FP Female Flow 2814F,478
Progress Note,CH Problem Visit WCHD,477
TB Test,TB Skin Test Placement- LCHD,477
Phone Encounter,CD - STD Test Results,476
Admit Note,Blank Note,476
ST Eval,CCHD STD Encounter - Form 2808,473
Progress Note,Referral Follow-Up,470
Progress Note,Animal Bite Follow-up SCHD,464
Progress Note,TB Skin Test Reading Visit,464
Progress Note,TB Epi Record Part 1.HCDPH,457
Progress Note,FP-Pregnancy Test 4140,454
Progress Note,CH-Well Child 5-6yrs.,454
Admit Note,FP-Revisit Depo or BCP Refill,453
Maternity Initial Visit,MH - Initial Visit,452
Progress Note,Controlled Substance Visit,451
Progress Note,STI Screening Note,450
Progress Note,FP - IUD Insertion Flow Sheet,448
Progress Note,PC - New Adult Office Visit,447
Progress Note,PP Homevisit Note,444
Progress Note,BF Well Child 15-21 Years,440
MD Progress,FN Outpatient Dr.Carlton,439
Progress Note,Preg Test 4140,438
MH Note,Behavioral Health Note,436
Admit Note,SCHD PNR-Provider,434
Progress Note,Pregnancy Test Form,433
FP History ,FP SCHD Female Health Hx,432
Progress Note,Colposcopy Note,431
Progress Note,STI Treatment Short Note,431
Progress Note,CHPE 18 MO - 2 1/2 YRS,430
Progress Note,BF Well Child 11-14 Years,429
Progress Note,Z FP Female PE HCDPH,426
CCM,CCM PHARM,426
Progress Note,Home Visit - Newborn,425
Progress Note,z-Pregnancy Test Note,423
Progress Note,MH-NST ONLY.HCDPH,420
Progress Note,Nurse visit,417
Progress Note,TB Skin Test - WCHD,416
Pregnancy Test,Pregnancy Test- LCHD,416
FP History ,FP Female History Form,413
Progress Note,MH-OB RECORDS,413
Progress Note,"MNT, Adult, Initial",413
FP History ,z-FP 4060F - Female Health Hx,413
Progress Note,TB MED Flow Sheet,412
MH Intake,ACOG Return Maternity Visit,412
MH Intake,MH New History,410
Surgery Note,HCM Procedure Note,410
Progress Note,BCCCP PE,409
Progress Note,"MNT, Peds F/u",409
Phone Encounter,CD - Blank,404
Progress Note,TB Skin Test  NCHD,404
Progress Note,CHPE 1 Month,401
Surgery Note,CP - Procedure Note,399
Progress Note,TB Epi Record Pt1,395
Admit Note,zzAdult Care Clinic,395
Admit Note,APC-WELL WOMAN EXAM,394
Progress Note,MH New Maternity Provider,391
STD Treatment,STD Treatment- LCHD,388
Progress Note,zzzCH-Well Child 11-14yrs,387
Progress Note,MH-Return OB Maternal Flow,387
Progress Note,CHPE 2 Months,385
Progress Note,TB Epi Record,384
Progress Note,ZBF-Well Child 4 year NEW,384
Progress Note,FP limited/method/Problem visi,383
Progress Note,Home Visit - Postnatal,383
Progress Note,AH Pap-Breast Exam,381
Admit Note,HCM Progress Note,380
Progress Note,FP- Female History-Flow 2814F,380
BCCCP Note,Adult Health,377
Progress Note,LCSW Note,371
Progress Note,New Prenatal,371
Progress Note,FP Education,369
Progress Note,BCCCP Breast Cancer 2019,366
Progress Note,Follow-up Note,364
CH Well Child Check,CCHD CH Well Child Check,364
Progress Note,TB Skin Test Reading - WCHD,360
Progress Note,COVID Vaccine,358
Progress Note,IUD Check,356
Progress Note,Lab Only - WCHD,356
Progress Note,MH-PP F/U Note,354
Progress Note,HCM - HandP,354
Admit Note,FP PREGNANCY TEST 4140,351
MH Intake,ACOG Maternity,350
Progress Note,TB Skin Test Reading NCHD,350
Progress Note,ZSCHD Pregnany Assessment Form,350
Progress Note,AH follow-up,348
Progress Note,FP - Colpo Form,348
Progress Note,ZBF-Well Child 7-8yrs.,347
Progress Note,ZBF Well Child 7-8 yrs NEW,345
H&P Note,APC - Sick/Physical Visit Note,344
Progress Note,AH  Physical-yellow,344
Progress Note,SCHD AH Visit Form,341
Progress Note,HCM Progress Note,340
Progress Note,BCCCP Follow-up Visit,338
Progress Note,Hospital Follow Up,337
Progress Note,TB Epi Record Part 2.HCDPH,336
Progress Note,AH - Well Woman Exam,334
Progress Note,Nursing Note,333
Child Health,BF-Well Child 4yrs.,330
Progress Note,BF - Well Child 11-14 Year NEW,330
Admit Note,CO - C-19 Pfz Vaccine-3RD Dose,330
Progress Note,CHPE 18-21 Years,327
Progress Note,CH - Well Child 15-21yrs,326
Progress Note,CHPE 4 Months,325
BP Check,BP Check,324
Progress Note,CHPE 6 months,323
Progress Note,WH - Treatment Note - STD,323
MH History,MH History- LCHD,323
Progress Note,County FLU Immunization,323
Progress Note,MNT Referral Form,322
Progress Note,MH Initial Physical Exam,321
Progress Note,ZBF-Well Child 15-21yrs.,321
Admit Note,WOMENS HEALTH PHYSICAL,321
Progress Note,BF - WCC 11-14yr Visit,319
Progress Note,BP Check-Nurse only,317
Admit Note,Wise Data Entry,315
Progress Note,Family Planning Physical,313
Progress Note,TB Medication Orders,313
Progress Note,Foreign Travel Worksheet - HC,313
Progress Note,zzzCH-Well Child 5-6yrs.,312
Progress Note,ZBF-Well Child 9-10yrs.,312
Progress Note,FP - IUD 4 Week Recheck Note,311
Progress Note,BF-Well Child 5-6yrs RPM,310
Progress Note,BF-Well Child 6 Months,309
BCCCP,BCCCP Assessment and Care Plan,305
Progress Note,ZBF Well Child 9 to 10 Yrs NEW,303
Progress Note,BF - Well Child 15-17 Year NEW,302
Progress Note,zzzCH- Well Child 15-21yrs,300
Progress Note,CD - HIV/Hep C testing,294
Progress Note,ZBF Well Child 3 years NEW,293
Progress Note,CHPE 4 Years,292
Progress Note,BF-Well Child 4 Months,292
Progress Note,MH-OB Lab Flow for AGOG Report,291
Progress Note,"MNT, Initial Pediatric",291
Progress Note,BF-Well Child 9 Months,289
Referral,Referral Form,288
Progress Note,Barton Immunization Note,288
Progress Note,SCHD TB Screening,288
Progress Note,Psych-Assessment Note,287
Progress Note,ZZZFP  2814F female flow sheet,286
Progress Note,Child Health Exam,285
Progress Note,CHPE 3 Years,281
Prenatal Care Plan,MH-Prenatal Care Plan,281
Progress Note,FP - Problem/Follow Up - WCHD,281
Documentation Consent From,MH - 6 BTL Soap Note,279
Progress Note,CHPE 9 months,277
Progress Note,MH - Postpartum Followup Visit,277
Progress Note,FP Female Flow 2814F Rev 0517,277
H&P Note,Immunization Note,274
VLab Report ,Aorta Duplex,273
Progress Note,MH - New OB Exam,273
Progress Note,Z-FP Female Hlth Hx/PE 2016,273
Progress Note,FP - Nexplanon Insertion,272
Procedure Note,Pill Count,272
Progress Note,FP IUD/Implant  Visit,271
Progress Note,New Patient,271
Progress Note,Medicaid Care Management Comm.,270
Progress Note,SCHD BCCCP/WW Visit,270
Progress Note,CH Follow-up,269
Clinic ,APC-Well Women Exam,268
Admit Note,WOMEN'S HEALTH PROBLEM,268
