Notetype,NoteTemplate,counts,Percentage,Cumulative Percentage,
Progress Note,MH-RETURN PRENATAL.HCDPH,7863,0.407090615,45.18576389,
Progress Note,PPD Skin Test,7684,0.397823259,45.58358715,
Nurse Admin ,Nurse Admin,7666,0.396891346,45.9804785,
Admit Note,ZZZZZZZZSCHD PN Return Visit,7560,0.391403414,46.37188191,
Progress Note,MH Return Note RPM,7504,0.38850413,46.76038604,
Progress Note,Gen STD Exam,7345,0.380272232,47.14065827,
Progress Note,FP Female Flow 2814F,7321,0.379029682,47.51968795,
Phone Encounter,Telephone Encounter,7220,0.373800615,47.89348857,
Progress Note,ZCOVID-19 CURBSIDE NURSE VISIT,7163,0.370849558,48.26433813,
Progress Note,Dr. Glass Note,6989,0.361841066,48.62617919,
H&P Note,PROVIDER NOTE,6604,0.341908485,48.96808768,
FP History ,FP Female HX/INITIAL/ANN,6479,0.335436868,49.30352455,
Phone Encounter,Phone Encounter - WCHD,6429,0.332848221,49.63637277,
Progress Note,Covid-19 Vaccination,6419,0.332330492,49.96870326,
Primary Care,Primary Care Visit,6285,0.325392918,50.29409618,
Progress Note,BCCCP Visit,6270,0.324616324,50.6187125,
H&P Note,Initial Evaluation,6117,0.316695064,50.93540756,
Progress Note,Sick Visit form SCHD,5999,0.310585857,51.24599342,
Progress Note,TB Skin Test Reading. HCDPH,5995,0.310378766,51.55637219,
Progress Note,FP - Contraceptive Supply,5852,0.302975235,51.85934742,
Progress Note,Wilkes Co Visit/Revisit Note,5806,0.30059368,52.1599411,
Progress Note,Maternal Return Note,5740,0.297176666,52.45711777,
Progress Note,Phone Encounter,5708,0.295519932,52.7526377,
Admit Note,RM - HandP,5642,0.292102918,53.04474062,
Progress Note,SCHD Immunization Note,5628,0.291378097,53.33611872,
Progress Note,CD - STD Exam and Tx,5614,0.290653276,53.62677199,
Progress Note,AH- Sick Visit Note,5531,0.286356122,53.91312812,
Progress Note,ASA Patient Progress Note,5525,0.286045485,54.1991736,
Nurses Note,Nurses Note NCHD,5511,0.285320663,54.48449426,
Phone Encounter,Progress Note,5497,0.284595842,54.76909011,
Progress Note,SCHD COVID Vaccine,5359,0.277451177,55.04654128,
Progress Note,STD Visit,5328,0.275846216,55.3223875,
Progress Note,PROGRESS NOTE,5257,0.272170337,55.59455784,
Progress Note,STD Visit.HCDPH,5247,0.271652608,55.86621044,
Speech Language Therapy,SOAP,5125,0.265336309,56.13154675,
Progress Note,ZBF - Problem Visit,5010,0.259382421,56.39092917,
Progress Note,SCHD FP Interperiodic Flow,4959,0.256742001,56.64767118,
Progress Note,SCHD STD Encounter - Form 2808,4955,0.25653491,56.90420609,
Progress Note,FP Follow-Up RPM,4914,0.254412219,57.1586183,
Maternity Visit,DCHD Maternal Flow,4892,0.253273215,57.41189152,
FP Supply or Problem,FP-Supply or Problem,4839,0.250529249,57.66242077,
Admit Note,Follow-up Note,4780,0.247474645,57.90989541,
Progress Note,Imm-TST,4719,0.244316496,58.15421191,
Progress Note,COVID-Testing-Note,4660,0.241261893,58.3954738,
Progress Note,ZZZ- STD - Form 2808,4578,0.237016512,58.63249031,
Progress Note,Lab/Drug screen Only,4562,0.236188145,58.86867846,
Progress Note,ZCOVID Administration Note,4447,0.230234257,59.09891272,
Progress Note,TB Skin Test. HCDPH,4416,0.228629296,59.32754201,
BH Office Visit,BH - COUNSELOR Return,4409,0.228266885,59.5558089,
Progress Note,Narrative Note SCHD,4393,0.227438518,59.78324742,
Progress Note,SCHD TB Skin Test Reading,4388,0.227179654,60.01042707,
Progress Note,Nurse Note,4346,0.22500519,60.23543226,
Admit Note,RM - Progress Note,4340,0.224694553,60.46012681,
Progress Note,zzzSTD Encounter - Form 2808,4338,0.224591007,60.68471782,
Rx to be sent,Medication Refill,4310,0.223141364,60.90785918,
Progress Note,Depo,4278,0.22148463,61.12934381,
Drop In,Immunization Note,4140,0.214339965,61.34368378,
Progress Note,FP - Female Flow 2814F,4127,0.213666917,61.5573507,
Progress Note,AH Primary Care Visit,4120,0.213304506,61.7706552,
Progress Note,BF - Problem Visit,4088,0.211647772,61.98230297,
Progress Note,RCPH FP Female Limited Visit,4084,0.21144068,62.19374365,
Progress Note,Medication Encounter,4067,0.21056054,62.4043042,
Admit Note,TB SKIN TEST,4036,0.208955579,62.61325977,
Progress Note,DLH-ProgressNote,4026,0.20843785,62.82169762,
Maternal,Maternal Flow,3979,0.206004522,63.02770215,
Admit Note,TB SKIN TEST READING,3968,0.20543502,63.23313717,
Progress Note,COVID Administration Note,3964,0.205227928,63.43836509,
Nurses Note,Nurses Note,3937,0.203830058,63.64219515,
Progress Note,FP- Female Physical Form,3909,0.202380416,63.84457557,
STD,STD Encounter - Form 2808,3844,0.199015175,64.04359074,
Progress Note,zSTD Note,3816,0.197565533,64.24115628,
Progress Note,STD Form -DHHS 2808-,3790,0.196219436,64.43737571,
Progress Note,FP Contraceptive Flow Sheet,3775,0.195442842,64.63281856,
Progress Note,COVID-19,3683,0.190679732,64.82349829,
Admit Note,DCHD - PPD Reading Note,3596,0.186175486,65.00967377,
Progress Note,SCHD FP Periodic Female Flow,3541,0.183327975,65.19300175,
Progress Note,OS - TST VISIT,3522,0.182344289,65.37534604,
BCCCP Note,BCCCP-Breast Screening Data,3517,0.182085424,65.55743146,
Progress Note,FP PE 2018.HCDPH,3507,0.181567695,65.73899916,
MH Note,MH Return Note,3497,0.181049966,65.92004912,
Progress Note,"Gen, Pregnancy Test Counseling",3434,0.17778827,66.09783739,
Progress Note,Pregnancy Test RPM,3420,0.177063449,66.27490084,
Progress Note,Pregnancy Test Note,3378,0.174888986,66.44978983,
Progress Note,FP- Female Flow 2814F /HX RPM,3375,0.174733667,66.62452349,
Progress Note,RCPH Immunization Note,3329,0.172352112,66.79687561,
Progress Note,COVID19 Testing Note,3320,0.171886155,66.96876176,
Progress Note,Diabetes Note,3315,0.171627291,67.14038905,
Progress Note,OS - TST Read,3308,0.17126488,67.31165393,
Progress Note,FP Limited Visit Flow - DCHD,3306,0.171161334,67.48281527,
STD Visit,STD- LCHD,3278,0.169711692,67.65252696,
Progress Note,Z COVID VACCINE NOTE OLD,3276,0.169608146,67.82213511,
Social Work,SOCIAL WORK  FOLLOW UP NOTE,3252,0.168365596,67.9905007,
Progress Note,MH-Follow Up Visit Note,3243,0.167899639,68.15840034,
Maternity Visit,MH - Maternity Return,3217,0.166553543,68.32495388,
Progress Note,MH- Maternal Flow,3194,0.165362765,68.49031665,
Progress Note,AH  Complaint/ Follow Up,3169,0.164068442,68.65438509,
Progress Note,RCPH FP Female Flow 2814F,3154,0.163291848,68.81767694,
Progress Note,ACUTE CARE VISIT.HCDPH,3106,0.160806747,68.97848368,
Progress Note,OAS - Immunization Note,3064,0.158632283,69.13711597,
Progress Note,APC - Immunization Only,2997,0.155163496,69.29227946,
Progress Note,BF-Well Child 5-6yrs.,2926,0.151487618,69.44376708,
Progress Note,CO - COVID-19 Spec Collection,2904,0.150348613,69.59411569,
Progress Note,TB Drug Record,2850,0.147552874,69.74166857,
Progress Note,COVID VACCINE NOTE,2836,0.146828053,69.88849662,
Progress Note,AH - Problem Visit Note,2831,0.146569189,70.03506581,
TB,TST Read,2824,0.146206778,70.18127259,
Progress Note,Nurse's Note,2824,0.146206778,70.32747937,
Progress Note,Immunization-School,2806,0.145274865,70.47275423,
Progress Note,Flu Vaccine Questionnaire,2777,0.14377345,70.61652768,
Family Planning,FP - Method/Problem Visit,2766,0.143203948,70.75973163,
H&P Note,Surgeon History and Physical,2737,0.141702532,70.90143416,
Progress Note,Lab Results,2734,0.141547214,71.04298138,
Progress Note,Immunization Note - Child,2733,0.141495441,71.18447682,
Progress Note,Limited Visit Note SCHD,2712,0.140408209,71.32488503,
Progress Note,SCHD Nurses Note,2711,0.140356436,71.46524146,
Progress Note,FP General Nurse Visit,2703,0.139942252,71.60518371,
Telehealth,Telehealth,2690,0.139269204,71.74445292,
Progress Note,ID SW CLINIC,2638,0.136577011,71.88102993,
Progress Note,FP Female PE Sheet w history,2635,0.136421693,72.01745162,
Admit Note,COVID Results,2629,0.136111055,72.15356268,
Admit Note,CP - HandP,2590,0.13409191,72.28765459,
Progress Note,New Maternity,2580,0.133574181,72.42122877,
FP History ,RCPH FP 4060F Female Health HX,2570,0.133056452,72.55428522,
Progress Note,Flu,2567,0.132901133,72.68718635,
Progress Note,COVID-19 Testing,2564,0.132745814,72.81993217,
FP Female Flow,FP-Female Annual,2556,0.132331631,72.9522638,
Progress Note,Immunization Note - Adult,2551,0.132072766,73.08433656,
Progress Note,BCCCP-Breast Screening Data,2550,0.132020993,73.21635756,
Maternal Flow,MH - Maternal Flow,2547,0.131865674,73.34822323,
Progress Note,MEDICATION ENCOUNTER,2538,0.131399718,73.47962295,
TB,TST Administration,2512,0.130053621,73.60967657,
Progress Note,FP-Female Flow/Green Sheet,2485,0.128655752,73.73833232,
Progress Note,Nurse Note Miscellaneous,2476,0.128189795,73.86652212,
Progress Note,LAB ONLY,2457,0.12720611,73.99372823,
Progress Note,TB Flow Sheet,2317,0.119957898,74.11368612,
Progress Note,CO - C-19 Mod Vaccine-1ST Dose,2289,0.118508256,74.23219438,
Progress Note,Adult Health,2277,0.117886981,74.35008136,
Progress Note,Immunization,2245,0.116230247,74.46631161,
Progress Note,SCHD Lab Only,2244,0.116178474,74.58249008,
Admit Note,SCHD TB Skin Test,2196,0.113693373,74.69618345,
Progress Note,FP SUPPLY-PROBLEM,2185,0.11312387,74.80930732,
Progress Note,Testosterone Injection,2172,0.112450822,74.92175815,
Progress Note,Flu - Pneumonia Note,2164,0.112036639,75.03379479,
Progress Note,SCHD TB Risk  Assessment,2158,0.111726001,75.14552079,
Progress Note,FP Limited Method Supply,2137,0.110638769,75.25615956,
Progress Note,FP/OB Pregnancy Test/Counsel,2121,0.109810402,75.36596996,
Progress Note,"FP - Problem,F/U, Supply Visit",2088,0.108101895,75.47407185,
FP Annual PP,FP Annual / PP Visit- LCHD,2080,0.107687712,75.58175957,
Progress Note,PC - MAT,2074,0.107377074,75.68913664,
Progress Note,TB Skin Test Reading- CCHD,2061,0.106704026,75.79584067,
Progress Note,Pill/Nuvaring/Ortho E Pickup,2042,0.10572034,75.90156101,
Phone Encounter,RCPH Phone Encounter,1990,0.103028147,76.00458915,
Progress Note,PREGNANCY TEST VISIT,1985,0.102769283,76.10735844,
Progress Note,Primary Care Note,1970,0.101992689,76.20935112,
Lab Only,Lab/Procedure Only- LCHD,1967,0.10183737,76.31118849,
Progress Note,FP - Pregnancy Test 4140,1962,0.101578505,76.412767,
Progress Note,TB Skin Test- CCHD,1945,0.100698365,76.51346536,
Immunization,Immunization Note- LCHD,1888,0.097747308,76.61121267,
Progress Note,Maternal Physical Examination,1875,0.097074259,76.70828693,
Progress Note,MH New OB Interview RPM,1859,0.096245892,76.80453282,
Admit Note,Covid Vaccine Admin Note,1858,0.09619412,76.90072694,
Progress Note,PC - Est Adult Office Visit,1853,0.095935255,76.9966622,
Progress Note,FP Female HX and Flow Sheet,1844,0.095469298,77.0921315,
Progress Note,DCHD - TB Risk Questionnaire,1832,0.094848023,77.18697952,
Progress Note,FP- Method/Follow up visit,1828,0.094640931,77.28162045,
Progress Note,Nurses Note,1822,0.094330294,77.37595075,
Admin Note,ADMIN NOTE,1821,0.094278521,77.47022927,
Progress Note,Gen STD treatment,1816,0.094019656,77.56424892,
Primary Care,LPC- Return Visit- LCHD,1813,0.093864337,77.65811326,
Progress Note,ID Clinic,1811,0.093760791,77.75187405,
Consultation Report,Consultation Note 1,1810,0.093709018,77.84558307,
Progress Note,CC - Starter Note,1807,0.0935537,77.93913677,
Progress Note,GenClinicPregnancy Test 4140,1797,0.09303597,78.03217274,
Progress Note,MEDICATION-PILL/DEPO ENCOUNTER,1791,0.092725333,78.12489807,
Progress Note,FP Female Flow 2814F SCHD,1784,0.092362922,78.21726099,
Progress Note,STD Treatment Record,1778,0.092052284,78.30931328,
Progress Note,PRESCRIPTION PICK UP,1774,0.091845193,78.40115847,
Progress Note,zCOVID Administration Note,1733,0.089722502,78.49088097,
Progress Note,BF-Well Child 11-14yrs,1722,0.089153,78.58003397,
Maternity Visit,MH - 1 Return OB,1703,0.088169314,78.66820329,
Progress Note,Easy Soap,1699,0.087962222,78.75616551,
Progress Note,SCHD FP Limited Visit,1692,0.087599812,78.84376532,
Progress Note,ULTRASOUND NOTE,1687,0.087340947,78.93110627,
Progress Note,CH PROBLEM/SICK NOTE-NEW,1671,0.08651258,79.01761885,
Progress Note,APC-Well Women Exam,1670,0.086460807,79.10407966,
Admit Note,FP FEMALE FLOW 2814F-NEW,1658,0.085839532,79.18991919,
Progress Note,Depo Provera Nurse Visit.HCDPH,1653,0.085580667,79.27549985,
Progress Note,MH-MATERNITY NOTE,1637,0.0847523,79.36025215,
Progress Note,BF-Well Child 7-8yrs.,1637,0.0847523,79.44500446,
Progress Note,FP Female Physical Exam,1618,0.083768614,79.52877307,
Progress Note,Med. Management Template,1608,0.083250885,79.61202395,
Progress Note,NEW STD Encounter - Form 2808,1593,0.082474291,79.69449825,
Progress Note,TST Administration Record,1563,0.080921103,79.77541935,
Progress Note,MH-MISSED OB APPT,1560,0.080765784,79.85618513,
Progress Note,Maternal New Admission,1552,0.0803516,79.93653673,
Progress Note,BF-Well Child 9-10yrs.,1538,0.079626779,80.01616351,
Admit Note,CP - Progress Note,1504,0.077866499,80.09403001,
BCCCP,BCCCP-Breast Screening Data,1500,0.077659408,80.17168942,
Method Visit,FP-Method Visit-Return,1482,0.076727495,80.24841691,
Progress Note,z-MH Return/Flow Note,1479,0.076572176,80.32498909,
Progress Note,SCHD Lab Results,1460,0.07558849,80.40057758,
Progress Note,Supply Visit,1460,0.07558849,80.47616607,
Progress Note,General Nurse Note,1453,0.075226079,80.55139215,
Progress Note,STD ENCOUNTER - FORM 2808,1438,0.074449485,80.62584163,
Progress Note,TST Result Record,1429,0.073983529,80.69982516,
H&P Note,Initial Breast Visit,1429,0.073983529,80.77380869,
Consultation Report,CP - HandP,1412,0.073103389,80.84691208,
Progress Note,FP Limited Visit,1411,0.073051616,80.9199637,
BH Office Visit,BH CCA 1 Nurse,1383,0.071601974,80.99156567,
Progress Note,TB - PPD Read,1381,0.071498428,81.0630641,
Injection Record,Injection Visit,1378,0.071343109,81.13440721,
Progress Note,RCPH STD Encounter - Form 2808,1369,0.070877153,81.20528436,
AWV,AWV visit w/Health Coach,1356,0.070204104,81.27548846,
Progress Note,BF-Well Child 4yrs.,1326,0.068650916,81.34413938,
Progress Note,Abnormal Pap Test Follow Up,1323,0.068495597,81.41263498,
Progress Note,SCHD Pregnancy Test Flow,1319,0.068288506,81.48092348,
Progress Note,STD Encounter SCHD,1299,0.067253047,81.54817653,
Progress Note,FP - Depo Injection - WCHD,1292,0.066890636,81.61506717,
Progress Note,TB - PPD Placement,1281,0.066321134,81.6813883,
Progress Note,TB - PPD reading,1272,0.065855178,81.74724348,
FP History ,FP 4060F - Female Health Hx,1269,0.065699859,81.81294334,
Progress Note,CH Visit,1262,0.065337448,81.87828079,
Admit Note,STD Encounter - Form 2808 NCHD,1255,0.064975038,81.94325582,
Progress Note,TB - PPD skin test only,1247,0.064560854,82.00781668,
Progress Note,NBPP - Postpartum Home Visit,1243,0.064353762,82.07217044,
Admit Note,a CPC New Patient,1242,0.064301989,82.13647243,
FP History ,FP - 4060F - Female Health Hx,1229,0.063628941,82.20010137,
Progress Note,FP Female-Green sheet,1227,0.063525395,82.26362677,
Progress Note,NBPP - Newborn Home Visit,1226,0.063473622,82.32710039,
Phone Encounter,Test Results,1224,0.063370077,82.39047047,
Progress Note,Hearing Evalution,1220,0.063162985,82.45363345,
Progress Note,Wilkes Co AH Annual PE,1209,0.062593483,82.51622693,
Admit Note,Wellnes Program Follow Up,1207,0.062489937,82.57871687,
Progress Note,AH - Physical Visit Note,1189,0.061558024,82.64027489,
Drop In,Drop In,1184,0.061299159,82.70157405,
Progress Note,BF -  Well Child 11-14yrs,1183,0.061247386,82.76282144,
Progress Note,Pregnancy Testing,1177,0.060936748,82.82375819,
Progress Note,FP - Annual Exam -WCHD,1172,0.060677884,82.88443607,
Progress Note,MH - Recheck Visit,1170,0.060574338,82.94501041,
Progress Note,Phone Encounter2,1168,0.060470792,83.0054812,
Progress Note,Immunization Flu/Pneum Note,1165,0.060315473,83.06579667,
Progress Note,Pregnancy Test Form 2,1163,0.060211927,83.1260086,
Progress Note,BF Problem Visit,1162,0.060160154,83.18616876,
Progress Note,MH-Maternal Health Labs,1156,0.059849517,83.24601827,
Family Planning,Depo Visit,1150,0.059538879,83.30555715,
Admit Note,Standing Order COVID-19 Test,1148,0.059435333,83.36499249,
Progress Note,Maternal Health Education,1148,0.059435333,83.42442782,
FP FLOW SHEET,FP Female Flow 2814F NCHD,1143,0.059176469,83.48360429,
Progress Note,CH Sick Visit/Problem Note,1126,0.058296329,83.54190062,
Progress Note,CP - Progress Note,1118,0.057882145,83.59978276,
Phone Encounter,Phone Encounter NCHD,1106,0.05726087,83.65704363,
Family Planning,z-FP Annual - Female,1099,0.056898459,83.71394209,
Progress Note,FLU Administration Note,1091,0.056484276,83.77042637,
BCCCP Note,BCCCP Visit,1074,0.055604136,83.8260305,
Progress Note,TB Skin Test Reading SCHD,1071,0.055448817,83.88147932,
Admit Note,Flu and Pneumonia Immunization,1069,0.055345271,83.93682459,
Lab Note,Lab/Radiology Review Note,1068,0.055293498,83.99211809,
Progress Note,PC - Est Pedi Office Visit,1065,0.055138179,84.04725627,
Family Planning,FP-Female Annual Revised,1059,0.054827542,84.10208381,
FP History ,FP Female,1058,0.054775769,84.15685958,
Progress Note,CO - COVID-19 Rapid Test,1057,0.054723996,84.21158357,
Admit Note,RM - Procedure Note,1056,0.054672223,84.2662558,
Admit Note,Covid Vaccine,1056,0.054672223,84.32092802,
Progress Note,CO - C-19 Pfz Vaccine-1ST DOSE,1055,0.05462045,84.37554847,
Progress Note,Hearing Aid Check,1054,0.054568677,84.43011715,
Progress Note,CHPE 11-17 Years,1052,0.054465131,84.48458228,
Progress Note,zzFP Female Initial/Ann Note,1052,0.054465131,84.53904741,
Progress Note,TB Medication,1044,0.054050948,84.59309836,
Progress Note,Misc.Note,1041,0.053895629,84.64699399,
Progress Note,FP Reproductive Health Female,1039,0.053792083,84.70078607,
Phone Encounter,COVID Results,1036,0.053636764,84.75442283,
Progress Note,MH-OB REFERRAL,1033,0.053481445,84.80790428,
Progress Note,BF-Well Child 3 years,1027,0.053170808,84.86107509,
Progress Note,BF-Well Child 2 years,1011,0.052342441,84.91341753,
Progress Note,Depo Provera Contraceptive-HC,1008,0.052187122,84.96560465,
MH Note,MH Initial Physical Exam,998,0.051669393,85.01727404,
Progress Note,SOAP,991,0.051306982,85.06858102,
Progress Note,ID Clinic Monthly Visit,976,0.050530388,85.11911141,
Progress Note,FLU Vaccination Note,970,0.05021975,85.16933116,
FP Eval,FP Evaluation Visit- LCHD,969,0.050167977,85.21949914,
Admit Note,ID Lab,968,0.050116204,85.26961534,
Progress Note,Maternal Return Note-WCHD,968,0.050116204,85.31973155,
Progress Note,MH -New OB Interview,965,0.049960886,85.36969243,
Admit Note,FP FAMILY PLANNING PROBLEM,964,0.049909113,85.41960155,
Progress Note,Medication Refill,964,0.049909113,85.46951066,
Progress Note,CO - C-19 Pfz Vaccine-2ND DOSE,959,0.049650248,85.51916091,
Admit Note,General Nurse Note,952,0.049287837,85.56844874,
Progress Note,MH Initial Visit HxPE.HCDPH,944,0.048873654,85.6173224,
Progress Note,TB Monthly Assessment.HCDPH,943,0.048821881,85.66614428,
Letters,Letter to Referring Provider,943,0.048821881,85.71496616,
Progress Note,FP Female Flow 2814Fnew,941,0.048718335,85.76368449,
Progress Note,STI Form 2808,936,0.04845947,85.81214396,
Progress Note,Home Visit,933,0.048304152,85.86044812,
Progress Note,BF-Well Child 12 Months,933,0.048304152,85.90875227,
TB DOT,TB DOT Clinic/In-home LCHD,925,0.047889968,85.95664224,
Progress Note,SCHD Pregnancy Assessment Form,922,0.047734649,86.00437688,
BCCCP,BCCCP Visit,919,0.04757933,86.05195621,
Admit Note,APC-Specialty PE,917,0.047475785,86.099432,
Progress Note,Peds Problem Visit,904,0.046802736,86.14623474,
Progress Note,PC Comprehensive Note,899,0.046543872,86.19277861,
Progress Note,Nutritional Counseling MNT,899,0.046543872,86.23932248,
Progress Note,ZBF Well Child 11 to 14 Yrs,893,0.046233234,86.28555571,
Progress Note,Progress Note,893,0.046233234,86.33178895,
Progress Note,MH Maternal Return Note SCHD,889,0.046026142,86.37781509,
Progress Note,WASH - Flu Note,887,0.045922596,86.42373769,
H&P Note,a CPC New Patient,877,0.045404867,86.46914255,
Progress Note,BH Follow Up Visit,877,0.045404867,86.51454742,
Progress Note,FP History/Annual Exam,875,0.045301321,86.55984874,
Progress Note,MH Initial Physical Exam RPM,873,0.045197775,86.60504652,
Progress Note,Psychotherapy Note,867,0.044887138,86.64993365,
Progress Note,ZBF Well Child 15-21 yrs NEW,864,0.044731819,86.69466547,
Progress Note,AH - General Nurse Visit,855,0.044265862,86.73893133,
Progress Note,FP-Pregnancy Test,854,0.044214089,86.78314542,
Progress Note,AH/CH Labs SCHD,851,0.044058771,86.82720419,
Admit Note,ZZZZZZZZSCHD New PN Visit,851,0.044058771,86.87126296,
Progress Note,Ped Primary Clinic Note,850,0.044006998,86.91526996,
BCCCP,BCCCP-Cervical Screen Data,843,0.043644587,86.95891455,
Progress Note,Barton PC Init./FU/Sick Note,843,0.043644587,87.00255914,
Progress Note,TB Flow Sheet ,843,0.043644587,87.04620372,
Progress Note,APC-Well Male Exam,839,0.043437495,87.08964122,
Consultation Report,HCM - HandP,839,0.043437495,87.13307871,
Progress Note,Immunization Visit,835,0.043230404,87.17630912,
Progress Note,TB Skin Test SCHD,834,0.043178631,87.21948775,
Progress Note,FP Annual Visit,830,0.042971539,87.26245929,
Progress Note,FP-Revisit Depo or BCP Refill,826,0.042764447,87.30522373,
Progress Note,FP Female Exam,824,0.042660901,87.34788464,
MH Exam,MH Return Note NCHD,824,0.042660901,87.39054554,
Progress Note,BF-Well Child 18 Months,823,0.042609128,87.43315466,
Admit Note,STD TREATMENT ONLY,822,0.042557355,87.47571202,
VLab Report ,Carotid Duplex,814,0.042143172,87.51785519,
Progress Note,Allergy Shots,811,0.041987853,87.55984305,
Phone Encounter,Refill Request,811,0.041987853,87.6018309,
FP History ,Z-FP 4060F - Female Health Hx,806,0.041728988,87.64355989,
Progress Note,zz NBPP-Home Visit - Postnatal,804,0.041625442,87.68518533,
Progress Note,CP - Procedure Note,803,0.04157367,87.726759,
FP History ,Z FP 4060M Female Health HX,803,0.04157367,87.76833267,
Progress Note,ZZ - NBPP-Home Visit - Newborn,802,0.041521897,87.80985456,
Progress Note,FP Supply VIsit,799,0.041366578,87.85122114,
Progress Note,Lab Screening Only,797,0.041263032,87.89248417,
Progress Note,FP Problem Note,797,0.041263032,87.93374721,
Progress Note,ID Clinic Lab,797,0.041263032,87.97501024,
Progress Note,CH Problem Visit,789,0.040848848,88.01585909,
Progress Note,CH SICK VISIT,787,0.040745303,88.05660439,
Progress Note,FP Limited Flow Sheet,786,0.04069353,88.09729792,
H&P Note,MAT Note,779,0.040331119,88.13762904,
Progress Note,MUSIC THERAPY,772,0.039968708,88.17759775,
Progress Note,PCM Note,770,0.039865163,88.21746291,
Progress Note,ID Social Worker Assessment,770,0.039865163,88.25732807,
Progress Note,BCCCP Data,763,0.039502752,88.29683082,
Progress Note,Lab Only NCHD,761,0.039399206,88.33623003,
Progress Note,Chronic Pain follow up,757,0.039192114,88.37542214,
Progress Note,COVID Nurse Evaluation,751,0.038881477,88.41430362,
Progress Note,STD Physical Form - WCHD,750,0.038829704,88.45313332,
Progress Note,Immunization Note SCHD,749,0.038777931,88.49191125,
BCCCP Note,BCCCP-Cervical Screen Data,747,0.038674385,88.53058564,
BH Office Visit,BH-CCA1-COUNSELOR,745,0.038570839,88.56915648,
Progress Note,BF - Well Child 002 to 05 Days,744,0.038519066,88.60767555,
Phone Encounter,Behavioral Health Note,740,0.038311974,88.64598752,
Progress Note,Lice Check,739,0.038260201,88.68424772,
Progress Note,Z TB Skin Test,731,0.037846018,88.72209374,
FP Contraception,FP Contraceptive Visit- LCHD,726,0.037587153,88.75968089,
Phone Encounter,Hospital f/u Call,724,0.037483607,88.7971645,
Child Health,BF-Well Child 11-14yrs,722,0.037380062,88.83454456,
MH Note,MH Pregnancy Test,719,0.037224743,88.8717693,
Progress Note,TB DOT,714,0.036965878,88.90873518,
Adult Sick,Adult Sick/Physical Visit NCHD,710,0.036758786,88.94549397,
Progress Note,BCCCP-Cervical Screen Data,701,0.03629283,88.9817868,
Progress Note,STD Treatment,701,0.03629283,89.01807963,
Progress Note,Foreign Travel HCDPH,693,0.035878646,89.05395827,
MH Intake,New Maternity Intake - RN Only,690,0.035723327,89.0896816,
Progress Note,COVID-19 Testing Clinic,689,0.035671555,89.12535316,
Admit Note,New Patient,688,0.035619782,89.16097294,
Progress Note,"MNT, Pregnant or PP Note",688,0.035619782,89.19659272,
Admit Note,Drug Screening,686,0.035516236,89.23210896,
Progress Note,Flu/Pneumonia Clinic,676,0.034998506,89.26710746,
Progress Note,AH-Basic History,675,0.034946733,89.30205419,
Admin Note,BCCCP-Breast/Cervical Data,674,0.03489496,89.33694916,
